NameKey,IndirectName,URI,FSUID
CripeJ,"Cripe, Juliann J. Woods",http://id.loc.gov/authorities/names/n91087899,jwoods
CrossT,"Cross, Timothy A.",http://viaf.org/viaf/241381087,tcross
CuevasB,"Cuevas, Bryan J.",http://id.loc.gov/authorities/names/n2002059897,
CuiH,"Cui, Hongchang",https://authorities.lib.fsu.edu/etd-naf/hcui2,hcui2
CuiM,"Cui, Ming",http://id.loc.gov/authorities/names/n2010019434,mcui
CulverA,"Culver, Annika A.",http://id.loc.gov/authorities/names/no2013045462,aculver
CuylerA,"Cuyler, Antonio C.",http://id.loc.gov/authorities/names/no2007084452,
DahlM,"Dahl, Mary Karen",http://id.loc.gov/authorities/names/n86035318,mkdahl
DalalN,"Dalal, Naresh S.",http://id.loc.gov/authorities/names/no2007034285,ndalal
DanielsS,"Daniels, Shanna Richards",https://authorities.lib.fsu.edu/etd-naf/srdaniels,srdaniels
DarabiA,"Darabi, Aubteen",https://authorities.lib.fsu.edu/etd-naf/adarabi,adarabi
DarrowA,"Darrow, Alice-Ann",http://id.loc.gov/authorities/names/n89618549,aadarrow
DavisA,"Davis, Angela F.",https://authorities.lib.fsu.edu/etd-naf/afdavis,afdavis
DawkinsJ,"Dawkins, Jim",http://id.loc.gov/authorities/names/n2017038591,
De CockS,"De Cock, Stijn J. W.",https://authorities.lib.fsu.edu/etd-naf/sdecock,sdecock
De GiorgiA,"De Giorgi, Andrea U.",http://id.loc.gov/authorities/names/n2015051850,adegiorgi
De GrummondN,"De Grummond, Nancy Thomson",http://id.loc.gov/authorities/names/n82216464,ndegrummond
DeBrunnerL,"DeBrunner, Linda S.",https://authorities.lib.fsu.edu/etd-naf/ldebrunner,ldebrunner
DeBrunnerV,"DeBrunner, Victor E.",https://authorities.lib.fsu.edu/etd-naf/vdebrunner,vdebrunner
DeHaven-SmithL,"DeHaven-Smith, Lance",http://id.loc.gov/authorities/names/n87871768,ldehavensmith
DePrinceA,"DePrince, A. EugeneIII",https://authorities.lib.fsu.edu/etd-naf/adeprince,adeprince
DengW,"Deng, Wu-Min",https://authorities.lib.fsu.edu/etd-naf/wdeng,wdeng
DennenV,"Dennen, Vanessa P.",http://id.loc.gov/authorities/names/n2012011678,vdennen
DennisJ,"Dennis, Jonathan Hancock",http://viaf.org/viaf/171975698,jhdennis
DennisL,"Dennis, Lawrence Carl",http://id.loc.gov/authorities/names/n88648674,ldennis
DennisL,"Dennis, Lindsay Rae",https://authorities.lib.fsu.edu/etd-naf/lrdennis,lrdennis
