050	100	245	502	650	856	904
QA76.27	Khan, Md Muhib, author	Tuning and Optimization of Resource Management for Data Analytics Applications / by Md Muhib Khan	Ph.D. Florida State University 2022.	Computer science	https://purl.lib.fsu.edu/diginole/2022_Summer_Khan_fsu_0071E_17324	0
TJ	Khobragade, Nikhil, author	Experimental and Numerical Characterization of a Generic Mixed-Compression Supersonic Intake / by Nikhil Khobragade	Ph.D. Florida State University 2022.	Mechanical engineering	https://purl.lib.fsu.edu/diginole/2022_Summer_Khobragade_fsu_0071E_17418	0
ML3920	Klenck, Rebekah (Rebekah Marie), author	Music Therapy in the Emergency Department : A Scoping Review / by Rebekah Klenck	M.M. Florida State University 2022.	Music therapy	https://purl.lib.fsu.edu/diginole/2022_Summer_Klenck_fsu_0071N_17445	0
PB1	Koller, Bryan Matthew, author	Evading the Censors : Exploring Defensive Writing in Nineteenth-Century French Literature from 1830 to 1890 / by Bryan Matthew Koller	Ph.D. Florida State University 2022.	Languages, Modern	https://purl.lib.fsu.edu/diginole/2022_Summer_Koller_fsu_0071E_17239	0
QC	Le, Dan Khac, author	A Study into the Formation of Coherent Pre-Steller Cores in Molecular Clouds / by Dan Khac Le	Ph.D. Florida State University 2022.	Physics	https://purl.lib.fsu.edu/diginole/2022_Summer_Le_fsu_0071E_17420	0
PA3516.92	Lee, Alex, author	Xenophon and the Sophistic Movement / by Alex Lee	Ph.D. Florida State University 2022.	Classical literature	https://purl.lib.fsu.edu/diginole/2022_Summer_Lee_fsu_0071E_17250	4
QA276.A2	Liu, Jingze, author	Generalized Data Depth with Modern Statistics Application / by Jingze Liu	Ph.D. Florida State University 2022.	Statistics	https://purl.lib.fsu.edu/diginole/2022_Summer_Liu_fsu_0071E_17326	0
JF1351	Liu, Yixin, author	Essays on Determinants and Outcomes of Collaborative Governance in the Field of Environmental Management / by Yixin Liu	Ph.D. Florida State University 2022.	Public administration	https://purl.lib.fsu.edu/diginole/2022_Summer_Liu_fsu_0071E_17435	0
QA10.92	Mauntel, Matthew C., author	Using Video Games as a Realistic Starting Point for Learning Linear Algebra through Design / by Matthew C. Mauntel	Ph.D. Florida State University 2022.	Mathematics	https://purl.lib.fsu.edu/diginole/2022_Summer_Mauntel_fsu_0071E_17351	0
BF201	Meyer, Alexandria, author	Causal Evidence of Hierarchical Control in the Prefrontal Cortex / by Alexandria Meyer	M.S. Florida State University 2022.	Cognitive psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Meyer_fsu_0071N_17185	0
QA76.27	Mortensen, Abigail, author	Isolating Errors for an Assembly Optimizer / by Abigail Mortensen	M.S. Florida State University 2022.	Computer science	https://purl.lib.fsu.edu/diginole/2022_Summer_Mortensen_fsu_0071N_17367	0
RC321	Mukherjee, Durba, author	Sex Differences in Histone Deacetylation during Conditioned Taste Aversion Learning / by Durba Mukherjee	Ph.D. Florida State University 2022.	Neurosciences	https://purl.lib.fsu.edu/diginole/2022_Summer_Mukherjee_fsu_0071E_17146	0
HB615	Pereira, Igor, author	Entrepreneurship in Marginalized Groups / by Igor Pereira	Ph.D. Florida State University 2022.	Entrepreneurship	https://purl.lib.fsu.edu/diginole/2022_Summer_Pereira_fsu_0071E_17441	0
QD151.3	Poe, Todd N. (Todd Noland), author	Optimizing Synthetic Conditions for the Stabilization of Divalent Californium / by Todd N. Poe	Ph.D. Florida State University 2022.	Chemistry, Inorganic	https://purl.lib.fsu.edu/diginole/2022_Summer_Poe_fsu_0071E_17180	0
QD71	Popovic, Zeljka, author	Applications of Liquid Chromatography Tandem Mass Spectrometry for the Analysis of Complex Mixtures / by Zeljka Popovic	Ph.D. Florida State University 2022.	Chemistry, Analytic	https://purl.lib.fsu.edu/diginole/2022_Summer_Popovic_fsu_0071E_17322	0
MT	Ramey, Lauren (Lauren Elizabeth), author	Impostor Phenomenon Responses of University-Level Choral Faculty / by Lauren Ramey	Ph.D. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/2022_Summer_Ramey_fsu_0071E_17404	0
TA160	Rashid, Md Mobasshir, author	Analysis of Pedestrian Behavior during Interaction with Autonomous Vehicles / by Md Mobasshir Rashid	M.S. Florida State University 2022.	Civil engineering	https://purl.lib.fsu.edu/diginole/2022_Summer_Rashid_fsu_0071N_17267	0
QA276.A2	Ren, Shaokang, author	Distance-Based Classifiers for Heavy-Tailed, Non-Sparse, and Correlated Data / by Shaokang Ren	Ph.D. Florida State University 2022.	Statistics	https://purl.lib.fsu.edu/diginole/2022_Summer_Ren_fsu_0071E_17285	0
RC466.8	Ringer, Fallon Brooke, author	Effects of Passive and Active Social Media Use on Thwarted Belongingness and Desire to Affiliate Following a Social Exclusion Task / by Fallon Brooke Ringer	Ph.D. Florida State University 2022.	Clinical psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Ringer_fsu_0071E_17416	0
HB1	Rooney, Timothy (Timothy J.), author	Essays in Development Economics / by Timothy Rooney	Ph.D. Florida State University 2022.	Economics	https://purl.lib.fsu.edu/diginole/2022_Summer_Rooney_fsu_0071E_17300	0
HF5605	Rosano, Eric D. (Eric Daniel), author	Industry Clustering and Accounting Information Quality / by Eric D. Rosano	Ph.D. Florida State University 2022.	Accounting	https://purl.lib.fsu.edu/diginole/2022_Summer_Rosano_fsu_0071E_17314	0
